"REGION";"DEP";"CHEFLIEU";"TNCC";"NCC";"NCCENR"
"82";"01";"01053";"5";"AIN";"Ain"
"22";"02";"02408";"5";"AISNE";"Aisne"
"83";"03";"03190";"5";"ALLIER";"Allier"
"93";"04";"04070";"4";"ALPES-DE-HAUTE-PROVENCE";"Alpes-de-Haute-Provence"
"93";"05";"05061";"4";"HAUTES-ALPES";"Hautes-Alpes"
"93";"06";"06088";"4";"ALPES-MARITIMES";"Alpes-Maritimes"
"82";"07";"07186";"5";"ARDECHE";"Ard�che"
"21";"08";"08105";"4";"ARDENNES";"Ardennes"
"73";"09";"09122";"5";"ARIEGE";"Ari�ge"
"21";"10";"10387";"5";"AUBE";"Aube"
"91";"11";"11069";"5";"AUDE";"Aude"
"73";"12";"12202";"5";"AVEYRON";"Aveyron"
"93";"13";"13055";"4";"BOUCHES-DU-RHONE";"Bouches-du-Rh�ne"
"25";"14";"14118";"2";"CALVADOS";"Calvados"
"83";"15";"15014";"2";"CANTAL";"Cantal"
"54";"16";"16015";"3";"CHARENTE";"Charente"
"54";"17";"17300";"3";"CHARENTE-MARITIME";"Charente-Maritime"
"24";"18";"18033";"2";"CHER";"Cher"
"74";"19";"19272";"3";"CORREZE";"Corr�ze"
"94";"2A";"2A004";"3";"CORSE-DU-SUD";"Corse-du-Sud"
"94";"2B";"2B033";"3";"HAUTE-CORSE";"Haute-Corse"
"26";"21";"21231";"3";"COTE-D'OR";"C�te-d'Or"
"53";"22";"22278";"4";"COTES-D'ARMOR";"C�tes-d'Armor"
"74";"23";"23096";"3";"CREUSE";"Creuse"
"72";"24";"24322";"3";"DORDOGNE";"Dordogne"
"43";"25";"25056";"2";"DOUBS";"Doubs"
"82";"26";"26362";"3";"DROME";"Dr�me"
"23";"27";"27229";"5";"EURE";"Eure"
"24";"28";"28085";"1";"EURE-ET-LOIR";"Eure-et-Loir"
"53";"29";"29232";"2";"FINISTERE";"Finist�re"
"91";"30";"30189";"2";"GARD";"Gard"
"73";"31";"31555";"3";"HAUTE-GARONNE";"Haute-Garonne"
"73";"32";"32013";"2";"GERS";"Gers"
"72";"33";"33063";"3";"GIRONDE";"Gironde"
"91";"34";"34172";"5";"HERAULT";"H�rault"
"53";"35";"35238";"1";"ILLE-ET-VILAINE";"Ille-et-Vilaine"
"24";"36";"36044";"5";"INDRE";"Indre"
"24";"37";"37261";"1";"INDRE-ET-LOIRE";"Indre-et-Loire"
"82";"38";"38185";"5";"ISERE";"Is�re"
"43";"39";"39300";"2";"JURA";"Jura"
"72";"40";"40192";"4";"LANDES";"Landes"
"24";"41";"41018";"0";"LOIR-ET-CHER";"Loir-et-Cher"
"82";"42";"42218";"3";"LOIRE";"Loire"
"83";"43";"43157";"3";"HAUTE-LOIRE";"Haute-Loire"
"52";"44";"44109";"3";"LOIRE-ATLANTIQUE";"Loire-Atlantique"
"24";"45";"45234";"2";"LOIRET";"Loiret"
"73";"46";"46042";"2";"LOT";"Lot"
"72";"47";"47001";"2";"LOT-ET-GARONNE";"Lot-et-Garonne"
"91";"48";"48095";"3";"LOZERE";"Loz�re"
